SampleID	geneID	count
D15.1N2T29	K00001	110
D15.1N2T29	K00002	14
D15.1N2T29	K00003	635
D15.1N2T29	K00004	0
D15.1N2T29	K00005	5
D15.1N2T29	K00007	0
D15.1N2T29	K00008	98
D15.1N2T29	K00009	7
D15.1N2T29	K00010	141
D15.1N2T29	K00012	5317
D15.1N2T29	K00013	840
D15.1N2T29	K00014	822
D15.1N2T29	K00015	11
D15.1N2T29	K00016	129
D15.1N2T29	K00018	643
D15.1N2T29	K00019	1
D15.1N2T29	K00020	18
D15.1N2T29	K00021	0
D15.1N2T29	K00023	0
D15.1N2T29	K00024	3431
D15.1N2T29	K00027	133
D15.1N2T29	K00029	3587
D15.1N2T29	K00030	9
D15.1N2T29	K00031	339
D15.1N2T29	K00032	0
D15.1N2T29	K00033	82
D15.1N2T29	K00034	0
D15.1N2T29	K00036	77
D15.1N2T29	K00038	0
D15.1N2T29	K00039	0
D15.1N2T29	K00040	79
D15.1N2T29	K00041	1017
D15.1N2T29	K00042	1
D15.1N2T29	K00043	0
D15.1N2T29	K00045	197
D15.1N2T29	K00046	1043
D15.1N2T29	K00048	797
D15.1N2T29	K00052	1144
D15.1N2T29	K00053	1430
D15.1N2T29	K00054	16
D15.1N2T29	K00055	0
D15.1N2T29	K00057	1703
D15.1N2T29	K00058	1441
D15.1N2T29	K00059	1890
D15.1N2T29	K00060	25
D15.1N2T29	K00064	0
D15.1N2T29	K00065	5
D15.1N2T29	K00066	224
D15.1N2T29	K00067	1904.5
D15.1N2T29	K00068	3
D15.1N2T29	K00073	1
D15.1N2T29	K00074	73
D15.1N2T29	K00075	588
D15.1N2T29	K00076	92
D15.1N2T29	K00077	123
D15.1N2T29	K00082	5
D15.1N2T29	K00086	4
D15.1N2T29	K00087	16
D15.1N2T29	K00088	3848
D15.1N2T29	K00090	1
D15.1N2T29	K00091	4
D15.1N2T29	K00094	0
D15.1N2T29	K00096	129
D15.1N2T29	K00097	1182
D15.1N2T29	K00098	0
D15.1N2T29	K00099	1863
D15.1N2T29	K00100	4
D15.1N2T29	K00101	0
D15.1N2T29	K00102	0
D15.1N2T29	K00104	19
D15.1N2T29	K00108	0
D15.1N2T29	K00111	1168
D15.1N2T29	K00112	131
D15.1N2T29	K00113	866
D15.1N2T29	K00116	2
D15.1N2T29	K00117	0
D15.1N2T29	K00121	1
D15.1N2T29	K00122	0
D15.1N2T29	K00123	228
D15.1N2T29	K00124	59
D15.1N2T29	K00127	31
D15.1N2T29	K00128	51
D15.1N2T29	K00130	4
D15.1N2T29	K00131	4
D15.1N2T29	K00132	2
D15.1N2T29	K00133	2321
D15.1N2T29	K00134	2689
D15.1N2T29	K00135	2
D15.1N2T29	K00137	0
D15.1N2T29	K00138	2
D15.1N2T29	K00140	24
D15.1N2T29	K00145	1285
D15.1N2T29	K00146	0
D15.1N2T29	K00147	1181
D15.1N2T29	K00148	0
D15.1N2T29	K00150	3
D15.1N2T29	K00151	0
D15.1N2T29	K00153	0
D15.1N2T29	K00154	2
D15.1N2T29	K00156	0
D15.1N6T29	K00001	447
D15.1N6T29	K00002	1
D15.1N6T29	K00003	664
D15.1N6T29	K00004	2
D15.1N6T29	K00005	78
D15.1N6T29	K00007	0
D15.1N6T29	K00008	118
D15.1N6T29	K00009	11
D15.1N6T29	K00010	14
D15.1N6T29	K00012	3337
D15.1N6T29	K00013	2033
D15.1N6T29	K00014	1059
D15.1N6T29	K00015	21
D15.1N6T29	K00016	566
D15.1N6T29	K00018	1426
D15.1N6T29	K00019	64
D15.1N6T29	K00020	125
D15.1N6T29	K00021	0
D15.1N6T29	K00023	0
D15.1N6T29	K00024	3317
D15.1N6T29	K00027	139
D15.1N6T29	K00029	3749
D15.1N6T29	K00030	32
D15.1N6T29	K00031	1202
D15.1N6T29	K00032	0
D15.1N6T29	K00033	1241
D15.1N6T29	K00034	0
D15.1N6T29	K00036	1233
D15.1N6T29	K00038	1
D15.1N6T29	K00039	0
D15.1N6T29	K00040	39
D15.1N6T29	K00041	1003
D15.1N6T29	K00042	0
D15.1N6T29	K00043	0
D15.1N6T29	K00045	177
D15.1N6T29	K00046	1499
D15.1N6T29	K00048	956
D15.1N6T29	K00052	2183
D15.1N6T29	K00053	2625
D15.1N6T29	K00054	24
D15.1N6T29	K00055	11
D15.1N6T29	K00057	2043
D15.1N6T29	K00058	1784
D15.1N6T29	K00059	2408
D15.1N6T29	K00060	4
D15.1N6T29	K00064	0
D15.1N6T29	K00065	47
D15.1N6T29	K00066	0
D15.1N6T29	K00067	2308
D15.1N6T29	K00068	3
D15.1N6T29	K00073	1
D15.1N6T29	K00074	120
D15.1N6T29	K00075	1583
D15.1N6T29	K00076	99
D15.1N6T29	K00077	1424
D15.1N6T29	K00082	0
D15.1N6T29	K00086	21
D15.1N6T29	K00087	53
D15.1N6T29	K00088	3970
D15.1N6T29	K00090	1
D15.1N6T29	K00091	1
D15.1N6T29	K00094	0
D15.1N6T29	K00096	590
D15.1N6T29	K00097	1560
D15.1N6T29	K00098	0
D15.1N6T29	K00099	2553
D15.1N6T29	K00100	15
D15.1N6T29	K00101	0
D15.1N6T29	K00102	13
D15.1N6T29	K00104	328
D15.1N6T29	K00108	0
D15.1N6T29	K00111	1630
D15.1N6T29	K00112	140
D15.1N6T29	K00113	618
D15.1N6T29	K00116	179
D15.1N6T29	K00117	1
D15.1N6T29	K00121	0
D15.1N6T29	K00122	0
D15.1N6T29	K00123	1608
D15.1N6T29	K00124	383
D15.1N6T29	K00127	284
D15.1N6T29	K00128	134
D15.1N6T29	K00130	3
D15.1N6T29	K00131	0
D15.1N6T29	K00132	0
D15.1N6T29	K00133	2243
D15.1N6T29	K00134	2746
D15.1N6T29	K00135	283
D15.1N6T29	K00137	0
D15.1N6T29	K00138	0
D15.1N6T29	K00140	4
D15.1N6T29	K00145	1983
D15.1N6T29	K00146	0
D15.1N6T29	K00147	2350
D15.1N6T29	K00148	1
D15.1N6T29	K00150	0
D15.1N6T29	K00151	0
D15.1N6T29	K00153	0
D15.1N6T29	K00154	142
D15.1N6T29	K00156	11
D16.1N1T29	K00001	801
D16.1N1T29	K00002	0
D16.1N1T29	K00003	297
D16.1N1T29	K00004	0
D16.1N1T29	K00005	46
D16.1N1T29	K00007	0
D16.1N1T29	K00008	145
D16.1N1T29	K00009	0
D16.1N1T29	K00010	34
D16.1N1T29	K00012	3017
D16.1N1T29	K00013	1782
D16.1N1T29	K00014	989
D16.1N1T29	K00015	16
D16.1N1T29	K00016	374
D16.1N1T29	K00018	1327
D16.1N1T29	K00019	4
D16.1N1T29	K00020	116
D16.1N1T29	K00021	0
D16.1N1T29	K00023	0
D16.1N1T29	K00024	3356
D16.1N1T29	K00027	73
D16.1N1T29	K00029	3803
D16.1N1T29	K00030	42
D16.1N1T29	K00031	1123
D16.1N1T29	K00032	0
D16.1N1T29	K00033	1339
D16.1N1T29	K00034	0
D16.1N1T29	K00036	1480
D16.1N1T29	K00038	0
D16.1N1T29	K00039	0
D16.1N1T29	K00040	53
D16.1N1T29	K00041	1296
D16.1N1T29	K00042	3
D16.1N1T29	K00043	0
D16.1N1T29	K00045	237
D16.1N1T29	K00046	1653
D16.1N1T29	K00048	1983
D16.1N1T29	K00052	1986
D16.1N1T29	K00053	2362
D16.1N1T29	K00054	15
D16.1N1T29	K00055	9
D16.1N1T29	K00057	1639
D16.1N1T29	K00058	1322
D16.1N1T29	K00059	2458
D16.1N1T29	K00060	9
D16.1N1T29	K00064	0
D16.1N1T29	K00065	27
D16.1N1T29	K00066	0
D16.1N1T29	K00067	1869
D16.1N1T29	K00068	0
D16.1N1T29	K00073	0
D16.1N1T29	K00074	80
D16.1N1T29	K00075	1544
D16.1N1T29	K00076	7
D16.1N1T29	K00077	1466
D16.1N1T29	K00082	0
D16.1N1T29	K00086	12
D16.1N1T29	K00087	26
D16.1N1T29	K00088	3766
D16.1N1T29	K00090	5
D16.1N1T29	K00091	0
D16.1N1T29	K00094	0
D16.1N1T29	K00096	770
D16.1N1T29	K00097	1693
D16.1N1T29	K00098	0
D16.1N1T29	K00099	2575
D16.1N1T29	K00100	10
D16.1N1T29	K00101	1
D16.1N1T29	K00102	9
D16.1N1T29	K00104	98
D16.1N1T29	K00108	0
D16.1N1T29	K00111	1572
D16.1N1T29	K00112	138
D16.1N1T29	K00113	466
D16.1N1T29	K00116	7
D16.1N1T29	K00117	0
D16.1N1T29	K00121	0
D16.1N1T29	K00122	0
D16.1N1T29	K00123	1552
D16.1N1T29	K00124	353
D16.1N1T29	K00127	284
D16.1N1T29	K00128	84
D16.1N1T29	K00130	0
D16.1N1T29	K00131	0
D16.1N1T29	K00132	0
D16.1N1T29	K00133	2189
D16.1N1T29	K00134	2543
D16.1N1T29	K00135	26
D16.1N1T29	K00137	0
D16.1N1T29	K00138	1
D16.1N1T29	K00140	1
D16.1N1T29	K00145	1964
D16.1N1T29	K00146	0
D16.1N1T29	K00147	2443
D16.1N1T29	K00148	0
D16.1N1T29	K00150	0
D16.1N1T29	K00151	0
D16.1N1T29	K00153	0
D16.1N1T29	K00154	7
D16.1N1T29	K00156	17
D16.1N2T29	K00001	116
D16.1N2T29	K00002	32
D16.1N2T29	K00003	894
D16.1N2T29	K00004	1
D16.1N2T29	K00005	35
D16.1N2T29	K00007	0
D16.1N2T29	K00008	280
D16.1N2T29	K00009	29
D16.1N2T29	K00010	224
D16.1N2T29	K00012	3961
D16.1N2T29	K00013	787
D16.1N2T29	K00014	704
D16.1N2T29	K00015	23
D16.1N2T29	K00016	400
D16.1N2T29	K00018	544
D16.1N2T29	K00019	5
D16.1N2T29	K00020	37
D16.1N2T29	K00021	0
D16.1N2T29	K00023	1
D16.1N2T29	K00024	2578
D16.1N2T29	K00027	487
D16.1N2T29	K00029	2534
D16.1N2T29	K00030	23
D16.1N2T29	K00031	585
D16.1N2T29	K00032	1
D16.1N2T29	K00033	90
D16.1N2T29	K00034	0
D16.1N2T29	K00036	46
D16.1N2T29	K00038	0
D16.1N2T29	K00039	0
D16.1N2T29	K00040	325
D16.1N2T29	K00041	1125
D16.1N2T29	K00042	19
D16.1N2T29	K00043	0
D16.1N2T29	K00045	163
D16.1N2T29	K00046	953
D16.1N2T29	K00048	701
D16.1N2T29	K00052	1128
D16.1N2T29	K00053	1436
D16.1N2T29	K00054	33
D16.1N2T29	K00055	3
D16.1N2T29	K00057	1503
D16.1N2T29	K00058	1639
D16.1N2T29	K00059	1814
D16.1N2T29	K00060	46
D16.1N2T29	K00064	0
D16.1N2T29	K00065	44
D16.1N2T29	K00066	105
D16.1N2T29	K00067	1474.5
D16.1N2T29	K00068	10
D16.1N2T29	K00073	4
D16.1N2T29	K00074	384
D16.1N2T29	K00075	724
D16.1N2T29	K00076	131
D16.1N2T29	K00077	178
D16.1N2T29	K00082	7
D16.1N2T29	K00086	5
D16.1N2T29	K00087	134
D16.1N2T29	K00088	3235
D16.1N2T29	K00090	5
D16.1N2T29	K00091	24
D16.1N2T29	K00094	0
D16.1N2T29	K00096	174
D16.1N2T29	K00097	879
D16.1N2T29	K00098	0
D16.1N2T29	K00099	1647
D16.1N2T29	K00100	19
D16.1N2T29	K00101	1
D16.1N2T29	K00102	2
D16.1N2T29	K00104	79
D16.1N2T29	K00108	2
D16.1N2T29	K00111	1000
D16.1N2T29	K00112	113
D16.1N2T29	K00113	672
D16.1N2T29	K00116	13
D16.1N2T29	K00117	0
D16.1N2T29	K00121	1
D16.1N2T29	K00122	0
D16.1N2T29	K00123	229
D16.1N2T29	K00124	38
D16.1N2T29	K00127	33
D16.1N2T29	K00128	144
D16.1N2T29	K00130	2
D16.1N2T29	K00131	2
D16.1N2T29	K00132	7
D16.1N2T29	K00133	2221
D16.1N2T29	K00134	2550
D16.1N2T29	K00135	25
D16.1N2T29	K00137	0
D16.1N2T29	K00138	1
D16.1N2T29	K00140	75
D16.1N2T29	K00145	1325
D16.1N2T29	K00146	0
D16.1N2T29	K00147	945
D16.1N2T29	K00148	0
D16.1N2T29	K00150	3
D16.1N2T29	K00151	0
D16.1N2T29	K00153	0
D16.1N2T29	K00154	4
D16.1N2T29	K00156	0
D16.1N3T29	K00001	531
D16.1N3T29	K00002	0
D16.1N3T29	K00003	626
D16.1N3T29	K00004	0
D16.1N3T29	K00005	43
D16.1N3T29	K00007	0
D16.1N3T29	K00008	34
D16.1N3T29	K00009	7
D16.1N3T29	K00010	4
D16.1N3T29	K00012	2439
D16.1N3T29	K00013	1994
D16.1N3T29	K00014	1126
D16.1N3T29	K00015	8
D16.1N3T29	K00016	605
D16.1N3T29	K00018	1548
D16.1N3T29	K00019	133
D16.1N3T29	K00020	68
D16.1N3T29	K00021	0
D16.1N3T29	K00023	0
D16.1N3T29	K00024	3180
D16.1N3T29	K00027	57
D16.1N3T29	K00029	4062
D16.1N3T29	K00030	27
D16.1N3T29	K00031	823
D16.1N3T29	K00032	0
D16.1N3T29	K00033	1751
D16.1N3T29	K00034	0
D16.1N3T29	K00036	1957
D16.1N3T29	K00038	1
D16.1N3T29	K00039	0
D16.1N3T29	K00040	42
D16.1N3T29	K00041	1413
D16.1N3T29	K00042	3
D16.1N3T29	K00043	0
D16.1N3T29	K00045	89
D16.1N3T29	K00046	1689
D16.1N3T29	K00048	1048
D16.1N3T29	K00052	2282
D16.1N3T29	K00053	2787
D16.1N3T29	K00054	62
D16.1N3T29	K00055	10
D16.1N3T29	K00057	1999
D16.1N3T29	K00058	1543
D16.1N3T29	K00059	4146
D16.1N3T29	K00060	4
D16.1N3T29	K00064	0
D16.1N3T29	K00065	24
D16.1N3T29	K00066	0
D16.1N3T29	K00067	2318.5
D16.1N3T29	K00068	0
D16.1N3T29	K00073	0
D16.1N3T29	K00074	70
D16.1N3T29	K00075	1650
D16.1N3T29	K00076	81
D16.1N3T29	K00077	1600
D16.1N3T29	K00082	0
D16.1N3T29	K00086	32
D16.1N3T29	K00087	8
D16.1N3T29	K00088	3859
D16.1N3T29	K00090	0
D16.1N3T29	K00091	0
D16.1N3T29	K00094	0
D16.1N3T29	K00096	139
D16.1N3T29	K00097	1933
D16.1N3T29	K00098	0
D16.1N3T29	K00099	2841
D16.1N3T29	K00100	6
D16.1N3T29	K00101	1
D16.1N3T29	K00102	4
D16.1N3T29	K00104	204
D16.1N3T29	K00108	1
D16.1N3T29	K00111	503
D16.1N3T29	K00112	26
D16.1N3T29	K00113	170
D16.1N3T29	K00116	180
D16.1N3T29	K00117	7
D16.1N3T29	K00121	0
D16.1N3T29	K00122	0
D16.1N3T29	K00123	1199
D16.1N3T29	K00124	225
D16.1N3T29	K00127	194
D16.1N3T29	K00128	52
D16.1N3T29	K00130	1
D16.1N3T29	K00131	0
D16.1N3T29	K00132	0
D16.1N3T29	K00133	2355
D16.1N3T29	K00134	2599
D16.1N3T29	K00135	469
D16.1N3T29	K00137	0
D16.1N3T29	K00138	1
D16.1N3T29	K00140	4
D16.1N3T29	K00145	2113
D16.1N3T29	K00146	0
D16.1N3T29	K00147	2566
D16.1N3T29	K00148	0
D16.1N3T29	K00150	0
D16.1N3T29	K00151	0
D16.1N3T29	K00153	1
D16.1N3T29	K00154	10
D16.1N3T29	K00156	5
D16.1N4T29	K00001	118
D16.1N4T29	K00002	22
D16.1N4T29	K00003	699
D16.1N4T29	K00004	0
D16.1N4T29	K00005	21
D16.1N4T29	K00007	0
D16.1N4T29	K00008	160
D16.1N4T29	K00009	19
D16.1N4T29	K00010	131
D16.1N4T29	K00012	4625
D16.1N4T29	K00013	894
D16.1N4T29	K00014	828
D16.1N4T29	K00015	27
D16.1N4T29	K00016	279
D16.1N4T29	K00018	685
D16.1N4T29	K00019	12
D16.1N4T29	K00020	36
D16.1N4T29	K00021	0
D16.1N4T29	K00023	0
D16.1N4T29	K00024	3242
D16.1N4T29	K00027	264
D16.1N4T29	K00029	3093
D16.1N4T29	K00030	17
D16.1N4T29	K00031	410
D16.1N4T29	K00032	0
D16.1N4T29	K00033	133
D16.1N4T29	K00034	1
D16.1N4T29	K00036	101
D16.1N4T29	K00038	0
D16.1N4T29	K00039	0
D16.1N4T29	K00040	102
D16.1N4T29	K00041	1206
D16.1N4T29	K00042	13
D16.1N4T29	K00043	0
D16.1N4T29	K00045	129
D16.1N4T29	K00046	1195
D16.1N4T29	K00048	792
D16.1N4T29	K00052	1289
D16.1N4T29	K00053	1461
D16.1N4T29	K00054	15
D16.1N4T29	K00055	5
D16.1N4T29	K00057	1609
D16.1N4T29	K00058	1494
D16.1N4T29	K00059	1901
D16.1N4T29	K00060	37
D16.1N4T29	K00064	0
D16.1N4T29	K00065	24
D16.1N4T29	K00066	177
D16.1N4T29	K00067	1866.5
D16.1N4T29	K00068	7
D16.1N4T29	K00073	3
D16.1N4T29	K00074	195
D16.1N4T29	K00075	869
D16.1N4T29	K00076	103
D16.1N4T29	K00077	164
D16.1N4T29	K00082	3
D16.1N4T29	K00086	5
D16.1N4T29	K00087	67
D16.1N4T29	K00088	3654
D16.1N4T29	K00090	2
D16.1N4T29	K00091	18
D16.1N4T29	K00094	0
D16.1N4T29	K00096	117
D16.1N4T29	K00097	1086
D16.1N4T29	K00098	0
D16.1N4T29	K00099	1915
D16.1N4T29	K00100	35
D16.1N4T29	K00101	0
D16.1N4T29	K00102	4
D16.1N4T29	K00104	82
D16.1N4T29	K00108	0
D16.1N4T29	K00111	1071
D16.1N4T29	K00112	143
D16.1N4T29	K00113	651
D16.1N4T29	K00116	17
D16.1N4T29	K00117	1
D16.1N4T29	K00121	0
D16.1N4T29	K00122	0
D16.1N4T29	K00123	352
D16.1N4T29	K00124	79
D16.1N4T29	K00127	47
D16.1N4T29	K00128	93
D16.1N4T29	K00130	1
D16.1N4T29	K00131	2
D16.1N4T29	K00132	4
D16.1N4T29	K00133	2422
D16.1N4T29	K00134	2960
D16.1N4T29	K00135	31
D16.1N4T29	K00137	0
D16.1N4T29	K00138	1
D16.1N4T29	K00140	44
D16.1N4T29	K00145	1232
D16.1N4T29	K00146	0
D16.1N4T29	K00147	1136
D16.1N4T29	K00148	0
D16.1N4T29	K00150	2
D16.1N4T29	K00151	0
D16.1N4T29	K00153	0
D16.1N4T29	K00154	14
D16.1N4T29	K00156	0
D16.1N5T29	K00001	119
D16.1N5T29	K00002	31
D16.1N5T29	K00003	665
D16.1N5T29	K00004	1
D16.1N5T29	K00005	26
D16.1N5T29	K00007	0
D16.1N5T29	K00008	170
D16.1N5T29	K00009	33
D16.1N5T29	K00010	134
D16.1N5T29	K00012	3611
D16.1N5T29	K00013	952
D16.1N5T29	K00014	866
D16.1N5T29	K00015	12
D16.1N5T29	K00016	281
D16.1N5T29	K00018	680
D16.1N5T29	K00019	6
D16.1N5T29	K00020	47
D16.1N5T29	K00021	0
D16.1N5T29	K00023	0
D16.1N5T29	K00024	2741
D16.1N5T29	K00027	362
D16.1N5T29	K00029	3136
D16.1N5T29	K00030	23
D16.1N5T29	K00031	448
D16.1N5T29	K00032	0
D16.1N5T29	K00033	231
D16.1N5T29	K00034	0
D16.1N5T29	K00036	157
D16.1N5T29	K00038	0
D16.1N5T29	K00039	0
D16.1N5T29	K00040	165
D16.1N5T29	K00041	1600
D16.1N5T29	K00042	9
D16.1N5T29	K00043	0
D16.1N5T29	K00045	113
D16.1N5T29	K00046	1085
D16.1N5T29	K00048	995
D16.1N5T29	K00052	1350
D16.1N5T29	K00053	1503
D16.1N5T29	K00054	16
D16.1N5T29	K00055	0
D16.1N5T29	K00057	1547
D16.1N5T29	K00058	1598
D16.1N5T29	K00059	1823
D16.1N5T29	K00060	55
